Country,Year,Internet Users,Population,Internet Users per 100
Turkey,2015,42805821,84339067,50.74
Uganda,2015,2136209,45741000,4.67
Ukraine,2015,21989568,43733759,50.28
United Arab Emirates,2015,8069803,9890400,81.59
United Kingdom,2015,60006613,67886004,88.39
United States of America,2015,242008728,331002647,73.08
Uruguay,2015,2197228,3473727,63.26
Uzbekistan,2015,13246350,33469199,39.59
Venezuela,2015,17707239,28435943,62.28
Vietnam,2015,41486130,97338583,42.61
Yemen,2015,6868328,29825968,23.03
Zambia,2015,1429844,18383956,7.77
Zimbabwe,2015,3219232,14862927,21.65
